Time,nsm,nlg,nsmz,nmdz,nlgz,no3,sio4,po4
2013-02-19 12:00:00,1.22311760821929E-07,4.8571931273928E-08,9.74118306788085E-08,6.22624098937193E-08,1.6595899866229E-08,1.83438706415221E-06,3.23281685885058E-06,1.85817957565201E-07
2013-02-20 00:00:00,1.09490264458997E-07,4.57456042204325E-08,9.66894494584052E-08,6.15024680251263E-08,1.66832702535417E-08,1.87947167515493E-06,3.29902174257339E-06,1.90133833043647E-07
2013-02-20 12:00:00,1.30483817587213E-07,4.80573890778801E-08,9.47476694089594E-08,6.07186688179864E-08,1.67522707623836E-08,1.90828846653975E-06,3.37416599415148E-06,1.91180889303876E-07
2013-02-21 00:00:00,1.12501127767978E-07,4.48767057399939E-08,9.49889173565398E-08,6.04639646822283E-08,1.69830772702299E-08,1.92366447466375E-06,3.41253265633644E-06,1.9364090972996E-07
2013-02-21 12:00:00,1.34351522313452E-07,4.77754523875716E-08,9.3724304553705E-08,5.98959100792669E-08,1.6962380518949E-08,1.96158022771619E-06,3.48519434488408E-06,1.95178247416163E-07
2013-02-22 00:00:00,1.23149729421865E-07,4.68463698556919E-08,9.62132780407655E-08,5.93098247760846E-08,1.68023897289265E-08,1.97614512007189E-06,3.49947716677783E-06,1.97485744077732E-07
2013-02-22 12:00:00,1.50261307904861E-07,5.04364196788519E-08,9.87932827920706E-08,5.95914755356679E-08,1.69133834655986E-08,1.94289227635152E-06,3.49027847681987E-06,1.93856361379777E-07
2013-02-23 00:00:00,1.31046653549399E-07,4.90627020346421E-08,1.21432301859465E-07,5.95842089266354E-08,1.69194622560756E-08,1.94998436798579E-06,3.52893405644512E-06,1.96274797375815E-07
2013-02-23 12:00:00,1.55298589156433E-07,5.32853082813625E-08,1.23423365706454E-07,6.02833440951785E-08,1.69855553267677E-08,1.90427426323192E-06,3.48960997745629E-06,1.91745742094415E-07
2013-02-24 00:00:00,1.27472504657978E-07,5.0309709356592E-08,1.24421463272094E-07,6.0127838358782E-08,1.68210504117036E-08,1.91888997756779E-06,3.49757217004334E-06,1.94636458349551E-07
2013-02-24 12:00:00,1.52437851982761E-07,5.49451425623272E-08,1.25177938348447E-07,6.04472331324312E-08,1.67650787585162E-08,1.86493236026315E-06,3.42032276200571E-06,1.8943585155189E-07
2013-02-25 00:00:00,1.35926063879301E-07,5.33488396772631E-08,1.26095999595682E-07,6.00847163892468E-08,1.65344250518433E-08,1.85526283063033E-06,3.40095770667076E-06,1.90187870502729E-07
2013-02-25 12:00:00,1.64759322173313E-07,5.82102301216109E-08,1.26650873027752E-07,6.05420604080041E-08,1.65160855729016E-08,1.80157965539592E-06,3.34490002951746E-06,1.84886607345988E-07
2013-02-26 00:00:00,1.43843038685428E-07,5.56761139737573E-08,1.26445796563457E-07,6.04419169628472E-08,1.63586757709202E-08,1.76287188093575E-06,3.26038141048161E-06,1.83683548119754E-07
2013-02-26 12:00:00,1.68567439141136E-07,5.92411136149024E-08,1.28406040524572E-07,6.170094003521E-08,1.65449524610975E-08,1.68076995509534E-06,3.15494161648298E-06,1.76233560492816E-07
2013-02-27 00:00:00,1.41095288726758E-07,5.59538071851974E-08,1.31217857375476E-07,6.24827471364746E-08,1.66681394399056E-08,1.65759141650892E-06,3.13584932909996E-06,1.76256879147926E-07
2013-02-27 12:00:00,1.55687498052832E-07,5.88203660256854E-08,1.30645284989855E-07,6.28945760810586E-08,1.66338736454896E-08,1.62911658469954E-06,3.08261523821429E-06,1.72889294351928E-07
2013-02-28 00:00:00,1.30488939248665E-07,5.59245207814717E-08,1.3319217958943E-07,6.36328880455725E-08,1.66689987731678E-08,1.58322701356492E-06,2.99456112648586E-06,1.71038919506388E-07
2013-02-28 12:00:00,1.39220749680291E-07,5.81031827948844E-08,1.29165794783213E-07,6.26799251754141E-08,1.62982722808965E-08,1.57215547452679E-06,2.95751326750666E-06,1.69578364017036E-07
2013-03-01 00:00:00,1.15465745316966E-07,5.52060869216152E-08,1.28362483043888E-07,6.15507104673032E-08,1.57920393491558E-08,1.57964261458359E-06,2.9320689789984E-06,1.7172848137066E-07
2013-03-01 12:00:00,1.41144609158935E-07,6.06878454762616E-08,1.28659019731695E-07,6.16347747049132E-08,1.559288423273E-08,1.54822765244173E-06,2.8995386040381E-06,1.6797505832222E-07
2013-03-02 00:00:00,1.27197992982352E-07,5.88257165139591E-08,1.30993379747326E-07,6.1398787421055E-08,1.53176375289338E-08,1.54398486126631E-06,2.89865858347266E-06,1.68770418300707E-07
2013-03-02 12:00:00,1.47406142165448E-07,6.22131228551019E-08,1.29226650810058E-07,6.07249096167176E-08,1.49891795276553E-08,1.52925916380105E-06,2.88085317496288E-06,1.66256380246706E-07
2013-03-03 00:00:00,1.24880602646447E-07,5.90548458601849E-08,1.30454698901171E-07,6.02289440020524E-08,1.46208981823273E-08,1.49685581447834E-06,2.80357558946594E-06,1.65109512098905E-07
2013-03-03 12:00:00,1.34978640730644E-07,6.06557094618451E-08,1.24955138984701E-07,5.79811049407877E-08,1.39424127795558E-08,1.53722544196229E-06,2.85190242544942E-06,1.66968700830416E-07
2013-03-04 00:00:00,1.08806167680176E-07,5.64274264712246E-08,1.24123454070146E-07,5.661606126539E-08,1.34632072462071E-08,1.55811815221048E-06,2.84553918842924E-06,1.70057855067755E-07
2013-03-04 12:00:00,1.27952949508318E-07,6.05302629083667E-08,1.21751386882279E-07,5.55566193135223E-08,1.30864211376455E-08,1.60774704449785E-06,2.93859834039965E-06,1.72427774833106E-07
2013-03-05 00:00:00,1.13506572126154E-07,5.77862890834235E-08,1.20744235646679E-07,5.46488471767966E-08,1.27629344515825E-08,1.61197390746142E-06,2.92145679082831E-06,1.73784024514764E-07
2013-03-05 12:00:00,1.37177085322397E-07,6.18536004634241E-08,1.18430307111951E-07,5.38392825788951E-08,1.24848476671755E-08,1.64609468075003E-06,2.98442154939648E-06,1.74791788002879E-07
